"","truseq","inlysate","purified_RNA","rand_truseq","rank","inlysate_truseq","purified_truseq","inlysate_purified","rand_truseq_truseq"
"1","FKBP5","FKBP5","FKBP5","C1orf61",1,1,1,1,0
"2","RGMB","DKK1","RGMB","TMEM191B",2,1,2,1,0
"3","MT1E","DUSP1","CEBPD","MIR125B1",3,1,2,1,0
"4","MT2A","MT1M","ITGA5","GCSHP3",4,1,2,1,0
"5","NEDD4","MT1E","NEDD4","PCDHGA10",5,2,3,1,0
"6","PER1","FOXO1","MT1M","ZNF746",6,2,3,2,0
"7","FOXO1","IRS2","IL1R1","LOC107987399",7,3,3,2,0
"8","USP53","MT2A","PER1","AHRR",8,4,4,2,0
"9","KLF9","CEBPD","FOXO1","GLIS3",9,4,5,4,0
"10","PDK4","NEDD4","GLUL","LOC105377178",10,5,5,5,0
"11","IL1R1","FADS1","IRS2","LOC105375219",11,5,6,6,0
"12","KDR","PHLDA1","TSC22D3","NCKAP5-AS2",12,5,6,6,0
"13","ABLIM3","TNFAIP8L3","MT1E","OPN1SW",13,5,7,7,0
"14","SLC19A2","SLC38A2","KLF9","SLC11A1",14,5,8,7,0
"15","HMOX1","IL1R1","USP53","FANCG",15,6,9,8,0
"16","RGCC","KLF9","ANGPTL4","LOC100996549",16,7,9,9,0
"17","ITGA5","CCN1","NFKBIA","LOC105375974",17,7,10,9,0
"18","VCL","VCL","GDNF","LOC105376299",18,8,10,9,0
"19","IRS2","ITGA5","DEPP1","FNBP1",19,10,11,10,0
"20","PXYLP1","PIK3R1","MIOS","LOC107985178",20,10,11,10,0
"21","FOXN3","DEPP1","HS3ST2","CACNA2D4",21,10,11,11,0
"22","DEPP1","REV3L","TBX3","LOC105377465",22,11,12,11,0
"23","TUT7","NEXN","RGS3","LOC105373887",23,11,12,11,0
"24","MIOS","PODXL","DUSP1","KCNJ12",24,11,13,12,0
"25","CCN4","TUBB3","TMEM204","ZNF670",25,11,13,12,0
"26","FADS1","ELL2","GREM2","ZNF785",26,12,13,12,0
"27","GLUL","UGP2","ERRFI1","LOC105373153",27,12,14,12,0
"28","HS3ST2","FOXN3","SPDL1","LOC105373492",28,13,15,12,0
"29","UGP2","JADE1","PDK4","TERC",29,14,16,12,0
"30","MTSS1","ERRFI1","RGS4","KIDINS220",30,14,16,13,0
"31","SMIM3","TUT7","SEC14L2","NOL11",31,15,16,13,0
"32","HS6ST1","CRYAB","PXYLP1","TMCO2",32,15,17,13,0
"33","SLC5A3","TOP1","IRF2BPL","SOCS1",33,15,17,13,0
"34","NFKBIA","JUN","ZFP36L2","LINC02233",34,15,18,13,0
"35","TOP1","TIMP3","JADE1","LOC107986698",35,16,18,14,0
"36","PRKD1","MKNK2","FIP1L1","PRRC2C",36,16,18,14,0
"37","RGS4","MT1X","PTPN1","MIR450A2",37,16,19,14,0
"38","TNFAIP8L3","PHC2","FOXN3","LOC105371120",38,17,20,15,0
"39","UST","FOXO3","TNFAIP8L3","LINC02423",39,17,21,16,0
"40","PTGER2","SMIM3","F3","OR8G2P",40,18,21,16,0
"41","SH3RF3","PER1","PODXL","ALDH1A1",41,19,21,18,0
"42","DIXDC1","HS3ST2","JUN","LOC107984941",42,20,21,20,0
"43","IRAK3","CAMK2N1","BCL2L1","NOL6",43,20,21,20,0
"44","FOXO3","SH3RF3","STXBP6","LOC107986929",44,22,21,20,0
"45","PODXL","TBX3","PHLDA1","LCN2",45,23,22,22,0
"46","PPP2CB","NFKBIA","SH3RF3","MCM9",46,24,23,24,0
"47","RNF115","ZBTB16","PIK3R1","MCM5",47,24,23,25,0
"48","PIK3R1","GPR68","UGP2","LOC107984898",48,25,25,26,0
"49","FGD4","TSC22D3","BDKRB2","DKK4",49,25,25,27,0
"50","ACVRL1","PPP2CB","INSYN2B","LOC100996745",50,26,25,27,0
"51","SLC38A2","ANGPTL4","ZNF622","NUMB",51,27,25,28,0
"52","PTPN1","ANKRD1","SMIM3","PRY2",52,27,27,29,0
"53","CNIH3","HMOX1","GPR68","POC1B",53,28,27,30,0
"54","KIF13B","TMEM204","FGD4","LOC107984321",54,28,28,31,0
"55","FAT4","HSPB1","DKK1","LOC105369784",55,28,28,32,0
"56","PHC2","ZBTB20","SYNJ2","INTS4P1",56,29,28,32,0
"57","GPR68","ZFP36L1","PPP2CB","ASTN2-AS1",57,30,30,33,0
"58","PACSIN2","CXXC5","CTDSPL","ZNF337-AS1",58,30,30,33,0
"59","BCL2L1","PLIN2","MEDAG","MSMP",59,30,31,33,0
"60","JCAD","LIMA1","POU2F2","LOC107985772",60,30,31,33,0
"61","DNAJB4","RNF115","SEC14L1","CLK2",61,31,31,33,0
"62","TMEM204","ZNF622","RNF115","LOC107984379",62,32,33,35,0
"63","DCBLD2","ZFP36L2","AR","PEX5",63,32,33,36,0
"64","BMP2","GREM2","GADD45B","COL21A1",64,32,33,37,0
"65","HK2","PTX3","PRKD1","LOC105371013",65,32,34,37,0
"66","METTL7A","ZFHX3","CNIH3","LINC01013",66,32,35,37,0
"67","GREM2","ROCK2","PLIN2","MIR1304",67,33,36,38,0
"68","CERS6","SPDL1","NEXN","CAPN9",68,33,36,40,0
"69","VGLL3","FAM107A","PDGFRA","IMMP2L",69,33,36,40,0
"70","ZNF622","VGLL3","TOP1","NTRK3-AS1",70,35,38,41,0
"71","PTPRJ","PDK4","FAM107A","PET100",71,36,38,43,0
"72","RHOB","ITGA2","SLC19A2","OPHN1",72,36,39,43,0
"73","ZDHHC9","TIPARP","SLC5A3","SP3",73,36,40,43,0
"74","PTX3","SYNJ2","LBH","LOC105370910",74,37,40,44,0
"75","CPM","CRISPLD2","PTGER2","RNY3",75,37,41,44,0
"76","AFAP1L1","FGF2","PMAIP1","LINC00458",76,37,41,44,0
"77","NRG1","ABLIM3","ZBTB20","LOC112268063",77,38,41,45,0
"78","SEMA5A","AKAP13","DNAJB4","CNPY3-GNMT",78,38,42,45,0
"79","TBX3","MIOS","ADRA1B","SYNPR-AS1",79,40,43,46,0
"80","RGS3","VEGFC","KCNB1","FMNL2",80,40,44,46,0
"81","INSYN2B","SEC14L2","PTX3","SPOP",81,40,46,48,0
"82","MCL1","USP53","SOX4","UBE2L5",82,41,46,49,0
"83","ITGA2","NAV2","ITPKC","C1orf210",83,42,46,49,0
"84","ERRFI1","RGMB","STK17B","LOC105373417",84,44,47,50,0
"85","SLCO2A1","POLR3C","SH2D4A","EIF5",85,44,47,50,0
"86","JADE1","METTL7A","BMP2","LOC105375313",86,46,49,50,0
"87","ATP1A1","HIP1","ANKRD1","CTDP1",87,46,49,51,0
"88","LBH","GLUL","AFAP1L1","CCDC149",88,47,51,52,0
"89","VEGFC","GADD45B","CYP1B1","UACA",89,48,51,53,0
"90","AOX1","PMAIP1","FSTL3","PDE2A-AS2",90,48,51,54,0
"91","FGF2","LAMB1","HS6ST1","LOC102723544",91,49,52,54,0
"92","BDKRB2","STXBP6","PHC2","LOC102724528",92,49,54,56,0
"93","SEC14L1","COL1A1","ZBTB16","GNB2",93,49,55,57,0
"94","HIP1R","PDLIM5","E2F7","LOC100130849",94,49,55,57,0
"95","ITPKC","DCBLD2","IRAK3","LOC105370241",95,50,57,57,0
"96","LONRF1","E2F7","LOC101928841","SAMD13",96,50,57,58,0
"97","CARMIL1","SEC14L1","SERTAD2","LINC01588",97,51,57,59,0
"98","TUBB3","KCNB1","CCN1","LOC107984187",98,52,57,61,0
"99","FLRT2","RGS3","KLF6","DCTN4",99,53,57,62,0
"100","PDGFRA","MEDAG","RHOB","HPR",100,53,59,63,0
"101","GEM","CPM","MCL1","CLEC18B",101,54,60,63,0
"102","STXBP5","PXYLP1","CEBPB","SNORD88C",102,55,60,64,0
"103","NEXN","JCAD","SGK1","INPP5B",103,57,61,64,0
"104","HIP1","F3","VCL","LOC105378969",104,58,62,66,0
"105","PCNX1","SNX9","CPM","SNORD164",105,58,63,67,0
"106","TMEM164","AKAP12","ZDHHC9","RAD51D",106,58,64,67,0
"107","GADD45B","PDGFRA","KIAA1217","SRGAP2C",107,60,65,68,0
"108","PLXNA2","GJA1","HIPK2","LOC107984315",108,60,65,68,0
"109","APPL2","SEMA5A","GLIS3","LOC107985349",109,61,65,68,0
"110","PLAU","PACSIN2","REV3L","HSD17B14",110,62,65,69,0
"111","CRYAB","GLRX","ARSI","LOC101927093",111,63,65,69,0
"112","FRMD6","FOXD1","ITGA2","RARRES2",112,63,66,70,0
"113","HIPK2","FBN1","HAND2","MIR381HG",113,63,67,70,0
"114","TSC22D3","MMP15","DAB2","LOC105378721",114,64,68,70,0
"115","TTC39B","SLC5A3","GJA1","LOC105374039",115,65,68,72,0
"116","NCOA3","CTSL","FLRT2","GOLM1",116,65,69,72,0
"117","RUBCNL","MCL1","NNMT","TRPC2",117,66,69,73,0
"118","ACKR4","ROCK1","RGCC","LOC105373305",118,66,70,73,0
"119","MT1M","HS6ST1","NR3C1","UNC119",119,68,71,74,0
"120","STXBP6","SOX4","CXXC5","LYPD3",120,69,72,76,0
"121","MT1X","RGCC","CTSC","MCM6",121,71,72,77,0
"122","PPP2R2C","UBC","FADS1","LINC00844",122,71,73,78,0
"123","SOCS5","CTDSPL","MTSS1","CHN2",123,71,74,79,0
"124","TIMP3","LRRC8A","SSBP2","NPHP1",124,72,74,79,0
"125","MOB3B","ARHGAP18","IMPA2","P3H3",125,72,74,79,0
"126","SORT1","GALNT15","SAP30","OR52W1",126,72,74,79,0
"127","SSTR1","ADRA1B","NRG1","MIR6749",127,72,75,80,0
"128","TMX4","ZNF106","UST","SPATA6",128,72,76,80,0
"129","SLC46A3","TCEAL4","FPR1","NRG3",129,72,76,80,0
"130","ZFP36L2","PXDC1","CCN4","LOC105379216",130,73,78,80,0
"131","B3GNT5","PTGER2","INSIG1","LOC105378146",131,74,78,81,0
"132","HAS2","APPL2","KIF13B","TMEM14C",132,75,79,81,0
"133","BCL6","PRKD1","FOXO3","UNCX",133,76,80,83,0
"134","SH2D4A","DIXDC1","ALPK2","KANSL2",134,77,81,83,0
"135","ZBTB16","SAP30","FRMD6","LOC105370640",135,78,83,84,0
"136","RAB7B","CNTN3","DACT3","PLEKHM1",136,78,83,84,0
"137","SPDL1","PTPN1","RHOBTB3","PAWR",137,80,84,85,0
"138","ARRDC2","GDNF","RIN1","FBXO16",138,80,84,86,0
"139","ALPK2","NAP1L1","PDE4B","MIR4444-1",139,80,85,86,0
"140","SERPINB2","CEBPB","B3GNT5","LOC107985713",140,80,86,87,0
"141","MMP15","IGFBP3","AKAP13","ZNF618",141,81,86,88,0
"142","ELF1","DUSP6","TCF4","GGT3P",142,81,86,88,0
"143","CLDN11","FGD4","SLC46A3","SLC25A34",143,82,87,89,0
"144","PDLIM5","MAP2K3","MKNK2","SNORD66",144,83,87,90,0
"145","ELL2","HAS2","RALA","OR5R1",145,85,87,90,0
"146","FGF5","ATP1A1","GLRX","LOC105374352",146,86,87,91,0
"147","CTDSPL","MBNL1","APPL2","OR4F17",147,87,89,92,0
"148","GRAMD2B","CCND1","TIPARP","LOC102724363",148,87,89,93,0
"149","ARMC8","MARCKS","NGF","LAYN",149,87,89,93,0
"150","GDNF","AR","ELF1","OOSP4B",150,88,91,94,0
"151","SEC14L2","ID1","TUT7","SPTBN2",151,89,93,95,0
"152","ROCK2","SORT1","RUBCNL","MDFIC2",152,91,94,95,0
"153","GALNT15","AHNAK","SEMA5A","LOC107985172",153,92,95,96,0
"154","GJA1","NR3C1","PNRC1","LRCOL1",154,93,96,97,0
"155","CXXC5","MRPS6","PXDC1","LOC107984627",155,94,97,98,0
"156","PLIN2","ZMIZ1","VEGFA","ZBED5",156,95,98,98,0
"157","IL6ST","DNAJB4","GRAMD2B","LOC107984819",157,96,99,99,0
"158","ZFP36","NKD1","BCL6","LOC107985230",158,96,100,99,0
"159","NUP98","CLIC4","SORT1","AZU1",159,96,101,100,0
"160","NT5DC3","IMPA2","DNAJA1","SIK1B",160,96,101,101,0
"161","INSC","DAB2","C11orf96","LINC01593",161,96,101,102,0
"162","SMAD3","SLC19A2","METTL7A","PER1",162,97,102,104,1
"163","LOC101928841","B2M","WNT5A","LRRN4CL",163,97,103,104,1
"164","KCNB1","NRG1","PPP2R3A","RPL24",164,99,104,105,1
"165","RALA","STK17B","TXNIP","MIR4453",165,99,105,106,1
"166","MKNK2","LRRFIP1","LOC107986820","LOC105375473",166,100,106,106,1
"167","INSIG1","CYP1B1","LRRC8A","GGN",167,100,107,108,1
"168","LIMA1","SERTAD2","MRPS6","LYRM2",168,101,107,110,1
"169","GCNT1","MRGPRF","ST3GAL1","SLC12A3",169,101,107,110,1
"170","DDAH1","FIBIN","ABLIM3","LOC107985529",170,101,108,111,1
"171","EXT1","HIPK2","LMCD1","ZBED8",171,102,108,112,1
"172","KLF15","CNIH3","FGF5","MROH8",172,103,109,113,1
"173","GCLC","KIF13B","GCNT1","TBCCD1",173,104,110,114,1
"174","STK17B","MIR100HG","ARMC8","FLACC1",174,105,112,114,1
"175","PBX1","ZDHHC9","FOXC2","TMEM51",175,106,112,115,1
"176","SERTAD2","ATOH8","SPRY1","MIR6511B1",176,107,113,115,1
"177","IMPA2","CPPED1","SMAD3","HCFC1",177,108,115,115,1
"178","TYRO3","ALPK2","HAS2","LOC105373963",178,109,116,117,1
"179","DUSP6","PLAU","MAP3K4","LOC105369850",179,111,116,117,1
"180","PXDC1","SOCS5","ACVRL1","LINC01912",180,113,118,117,1
"181","CLIC4","FBLN5","GADD45A","LOC105372767",181,114,118,117,1
"182","LRRC32","FGF5","BDKRB1","LOC105374491",182,115,118,118,1
"183","TMEM64","BASP1","KIFBP","UCHL3",183,115,118,118,1
"184","HIPK3","LOC101928841","TTC39B","LOC112268419",184,116,119,119,1
"185","KIFBP","RALA","VGLL3","TOE1",185,117,121,121,1
"186","TMEM200A","GRAMD2B","RAB7B","LOC105379371",186,118,122,122,1
"187","FADS2","CERS6","CDK17","LOC107984852",187,119,122,122,1
"188","AKAP13","TRIO","LINC01119","FAM238A",188,120,123,122,1
"189","CDK17","GADD45A","ZMIZ1","INTS2",189,120,124,124,1
"190","WNT5A","AOX1","FNBP1L","ATP6V0E2",190,121,125,124,1
"191","MAP2K3","CLDN11","ZFAND5","LOC105378608",191,123,125,124,1
"192","FAM107A","NR2F2","GPAT3","FAP",192,124,126,124,1
"193","RARG","PNRC1","DUSP6","RNA5S3",193,124,127,126,1
"194","JPH2","TANC2","INHBA","SLX1A",194,124,127,126,1
"195","AKAP12","SP110","DCBLD2","CNTF",195,125,128,127,1
"196","ZNF106","ELF1","GCLC","LOC641746",196,127,129,128,1
"197","LMCD1","GLS","ELL2","POMT1",197,127,131,129,1
"198","PDE4B","FRMD6","MOB3B","RNF220",198,128,133,130,1
"199","CCND1","IRF2BPL","ENC1","LOC105370360",199,129,133,131,1
"200","TGFBR2","IRAK3","PLAU","LOC105373796",200,130,134,133,1
"201","ARHGAP18","PLCB4","VDR","LOC105377784",201,131,134,133,1
"202","APBB1IP","PHLDA3","RUNX1T1","FAIM2",202,131,134,133,1
"203","HS2ST1","MBNL2","FGF2","LOC105377666",203,131,135,134,1
"204","PANX1","UBALD2","JCAD","LOC101927200",204,131,136,135,1
"205","LAMA3","SGK1","S1PR2","LOC107985161",205,131,136,136,1
"206","GLRX","CCN4","DIXDC1","SLC6A12",206,133,138,138,1
"207","RPS6KA2","PHLDB1","CRISPLD2","SCN10A",207,133,138,139,1
"208","AHRR","RHOBTB3","ZFHX3","UGP2",208,133,138,141,3
"209","DUSP1","STXBP5","NAV2","LINC01559",209,135,139,142,3
"210","SH2B3","GLIS3","SH3BP5","LOC105377205",210,135,139,143,3
"211","ROCK1","ELK3","TMEM64","BTF3",211,136,140,143,3
"212","TNS2","INSIG1","MRTFA","SHD",212,137,140,144,3
"213","PBX3","NFKBIZ","DDIT3","FAM222B",213,137,140,144,3
"214","LDLRAD3","RHOB","CRYAB","TRIM74",214,138,141,146,3
"215","PRPS1","CYTOR","ATP1B1","RUVBL2",215,138,141,146,3
"216","VEGFA","LRRC32","RCAN1","SLC22A5",216,139,142,146,3
"217","CMTM4","TTC39B","MMP15","DSG2",217,140,143,148,3
"218","RASA1","NIBAN2","SP110","FANCF",218,140,143,149,3
"219","RHOBTB3","IRAK1","NCOA3","GAB4",219,141,145,149,3
"220","HSPB1","MTSS1","LCE1F","LINC01455",220,143,145,150,3
"221","MRTFA","MEF2A","TMEM158","MIG7",221,143,146,150,3
"222","LPXN","CDC37L1","ITPKA","LOC105376306",222,143,146,150,3
"223","ENC1","INSYN2B","PLXNA2","LINC02189",223,144,148,151,3
"224","NGF","CAV1","EHD1","LOC105371392",224,144,149,151,3
"225","NR3C1","ARMC8","CYTH3","LRRK1",225,146,150,152,3
"226","EHD1","PBX3","FOS","LOC105375733",226,147,151,152,3
"227","ZHX3","RERE","HMOX1","LOC105379107",227,147,152,153,3
"228","CEBPD","CTSC","ALOX15B","NOTCH2NLC",228,148,153,154,3
"229","RCAN1","KTN1","NAGS","MIR34A",229,148,154,154,3
"230","EPB41L5","KLF6","RASA1","LOC102723690",230,148,155,155,3
"231","APBB2","ALCAM","ZFP36","MIR3140",231,148,156,155,3
"232","POLR3C","SLCO2A1","HIP1","PARVA",232,150,157,156,3
"233","HMGA2","B3GNT5","ARMC9","INS",233,151,157,157,3
"234","SYNJ2","LBH","HIP1R","BCL2L10",234,153,159,158,3
"235","EVA1A","HK2","HOXB5","MIR335",235,154,159,158,3
"236","SP110","LPXN","INSC","LGALS9B",236,156,161,158,3
"237","SGK1","CELF2","EPHB3","HCG24",237,157,162,158,3
"238","PHLDA1","NCOA3","CYTOR","GPN1",238,159,163,160,3
"239","TACC1","LINC02594","TNFRSF1B","GABRB2",239,159,163,160,3
"240","EFR3B","LAMA4","MLLT3","SCO2",240,159,163,160,3
"241","ATP8B1","FLRT2","CKAP2","MIR8065",241,160,163,161,3
"242","RIN1","SAMHD1","LIMA1","LOC100652758",242,160,165,162,3
"243","AQP9","HIPK3","CLDN4","LOC101927919",243,161,165,162,3
"244","RAF1","FIP1L1","MT1X","GTF2H2C_2",244,161,166,164,3
"245","KLF6","KIAA1217","MAP2K3","LOC105371508",245,162,168,166,3
"246","E2F7","C5AR2","HSPB1","FBLN1",246,163,170,167,3
"247","CYTH3","TMX4","MLXIP","IWS1",247,164,171,167,3
"248","PPP2R3A","SLC46A3","NKD1","SNHG17",248,165,172,169,3
"249","NR1D1","RAB7B","USP31","GOLGA8K",249,166,172,170,3
"250","DKK1","ZFP36","RPS6KA2","KIAA1586",250,168,174,171,3
"251","GREM1","KANK1","ARHGAP18","MDC1",251,168,175,172,3
"252","MBNL1","APCDD1","XIRP1","ZNF75D",252,169,175,172,3
"253","PPP1R3B","MAP1B","SHISAL1","P2RX1",253,169,175,172,3
"254","FOS","CBX3","APBB1IP","GPATCH2",254,169,177,172,3
"255","ARHGEF2","CDR2L","ALCAM","MIR3166",255,169,177,173,3
"256","ARMC9","SERPINB2","DIRAS3","GK5",256,170,178,173,3
"257","DOCK9","FSTL3","TYRO3","MUC7",257,170,179,174,3
"258","TAB2","ADAM12","TNS2","TCTE3",258,170,180,174,3
"259","F3","LPAR1","CPPED1","DCAF7",259,171,181,175,3
"260","GREB1L","RCAN1","SLC38A2","GPRIN1",260,172,182,177,3
"261","SOX4","ENC1","SOCS5","GPR15",261,174,184,179,3
"262","DNAJC6","PCOLCE","NT5DC3","LOC105370216",262,174,185,179,3
"263","APCDD1","CD109","UBALD2","EID3",263,175,185,180,3
"264","ALOX15B","SAP30-DT","MRGPRF","LEPROT",264,175,186,181,3
"265","FIP1L1","REXO2","PRDM1","KIR3DX1",265,176,187,181,3
"266","DAB2","ID2","TIMP3","PDZD9",266,177,189,182,3
"267","IRF2BPL","HAND2","APCDD1","LOC105374681",267,178,191,184,3
"268","CTSC","WNT5A","CNNM1","EGFL6",268,180,192,185,3
"269","NAGS","HMGA1","NAV3","ZNF256",269,180,193,185,3
"270","SLC7A8","FSCN1","PSRC1","GJC2",270,180,193,185,3
"271","LINC01119","ELN","TNFRSF11B","LOC105372871",271,180,194,185,3
"272","CCDC6","LAMA2","LINC00968","CYB5D2",272,180,194,185,3
"273","PDGFC","ZNF331","RERE","LOC105378847",273,180,194,186,3
"274","ABCA1","UST","KDR","LOC112268182",274,181,195,187,3
"275","SH3BP5L","KDR","AOX1","LOC105372991",275,182,196,189,3
"276","SPHK1","ACVRL1","CERS6","NPB",276,183,197,191,3
"277","ST3GAL1","RAP2B","ARHGEF2","CETP",277,183,199,191,3
"278","PLK2","UBL3","NR2F2","COL1A1",278,183,199,192,3
"279","FSTL3","COPS8","MT2A","LOC105378479",279,184,201,193,3
"280","ANGPTL4","PLXNA2","RAI14","C12orf73",280,186,202,194,3
"281","ELK3","BCL2L1","SAMHD1","WDR12",281,188,202,196,3
"282","GLIS3","CDKN1A","KITLG","LOC105369947",282,189,203,196,4
"283","LIX1L","TMEM64","DDIT4L","INIP",283,190,203,197,4
"284","SOX13","ANXA2","PYGB","CCDC172",284,190,203,197,4
"285","NNMT","RPS6KA2","HS3ST3B1","MYL6B",285,191,204,198,4
"286","TNFRSF19","TXNIP","PRRX1","LOC105371695",286,191,204,199,4
"287","GDF6","AHRR","PTPRJ","DLGAP1",287,192,205,199,4
"288","AR","LOC107986820","REPS1","LOC100130027",288,193,206,200,4
"289","TLN2","LMCD1","VSTM2L","MIR378D2",289,194,206,201,4
"290","PCGF5","WNT16","YPEL2","ACCSL",290,194,206,201,4
"291","MEF2A","BCL6","RASSF8","LDHC",291,196,206,202,4
"292","NRP1","SIK2","GPX7","LOC105373741",292,196,206,202,4
"293","CNTN3","STK24","SLCO2A1","LOC105372120",293,197,207,203,4
"294","ZFP36L1","STK17A","KLF15","LOC107984512",294,198,208,203,4
"295","PMAIP1","FZD2","FBLN5","MAB21L1",295,199,209,204,4
"296","STEAP4","VIM","TRIO","NABP1",296,199,209,205,4
"297","S1PR2","AFAP1L1","LRATD1","LOC100126584",297,200,210,206,4
"298","CCN1","ANGPTL2","MARCKS","GLB1L",298,201,211,207,4
"299","GPRC5B","VEGFA","ELN","LOC105372401",299,202,211,209,4
"300","MAP1A","ALOX15B","PBX3","ARMC9",300,203,212,211,5
"301","PYGB","RUBCNL","ARRDC2","LOC107986485",301,204,214,212,5
"302","FERMT2","ARRDC2","ZRANB1","LOC102723512",302,205,214,213,5
"303","SLC38A1","LINC00968","CAMK2N1","OR2D3",303,205,214,215,5
"304","TANC2","C11orf68","STK17A","OR12D1",304,206,214,216,5
"305","KIAA1217","POU2F2","NFIA","LOC105372449",305,207,215,217,5
"306","RASSF2","PDGFC","MIR100HG","ACHE",306,208,215,218,5
"307","CNNM1","ZFAND5","LINC02594","PLGLB1",307,208,216,220,5
"308","ANKRD1","IFI16","CCDC6","SLC35D1",308,209,218,220,5
"309","PHLDB1","PTPRJ","PPP1R15A","NDUFAF7",309,211,218,221,5
"310","FPR1","SOX13","CH25H","NUCKS1",310,212,219,221,5
"311","SHISAL1","FHL2","CRYBG1","MIR6894",311,212,220,221,5
"312","KANK1","NGF","IFNGR1","TBR1",312,214,220,222,5
"313","YPEL2","FPR1","PCNX1","LOC105373554",313,215,222,223,5
"314","MN1","HS2ST1","OXCT1","SCARNA1",314,216,222,223,5
"315","LRRFIP1","DPYSL2","TMEM200A","LOC105369855",315,217,223,223,5
"316","SMARCD2","TNFAIP6","IRF1","MIR5692A1",316,217,223,223,5
"317","GPAT3","GPM6B","MBNL1-AS1","LINC02450",317,217,224,223,5
"318","UBASH3B","CHD4","EBF1","LOC107986786",318,217,224,223,5
"319","SLC35D1","LDLRAD3","TRIM63","MIR4745",319,218,224,223,6
"320","SAP30","ATP13A3","HS2ST1","KLHDC1",320,219,226,224,6
"321","CHD4","BAG3","CDR2L","RBM11",321,220,226,225,6
"322","TRIO","FTH1","FBXO42","SNORD115-17",322,221,227,225,6
"323","RGL1","GNG11","ZNF618","RIPK1",323,221,227,225,6
"324","ZNF618","MOB3B","C5AR2","MAT1A",324,222,228,227,7
"325","LPAR1","PRRX1","LRRC32","GOLGA8G",325,223,229,229,7
"326","MARCHF4","NFIA","TP53BP2","DNAJC7",326,223,229,230,7
"327","KLF7","NRP1","CNTN3","ASPA",327,224,230,231,7
"328","ACSL1","OXCT1","SLC7A8","RND1",328,224,231,232,7
"329","SSBP2","ITPKC","JAGN1","LOC107986963",329,225,232,233,7
"330","FIBIN","UNC13B","PRR5","CASC3",330,226,232,233,7
"331","DDIT4L","TRIM56","SLC38A1","MAFG-DT",331,226,234,233,7
"332","CRYBG1","PMP22","UBL3","LOC107985836",332,226,235,234,7
"333","FOXD1","VMP1","AQP9","SCARNA21",333,227,236,234,7
"334","CPPED1","ZHX3","OXSR1","MX1",334,229,237,234,7
"335","MEDAG","BNC2","FADD","MMP21",335,230,238,234,7
"336","FBXO42","SH3BP5","PDLIM5","LOC729968",336,230,240,236,7
"337","HS3ST3B1","ZRANB1","ULBP3","IVNS1ABP",337,230,241,237,7
"338","SPRY4","SP100","EVA1C","ATP1A3",338,230,241,237,7
"339","NCR3LG1","SH3PXD2B","CCND1","NPVF",339,230,242,238,7
"340","TMEM158","TUT4","HDAC7","LINC02131",340,230,243,238,7
"341","CRISPLD2","ATP8B1","TAB2","LINC00707",341,232,245,238,7
"342","PTPRG","CCDC6","NRP1","LOC101927879",342,233,246,240,7
"343","BAALC","PFN1","TMX4","MIR7155",343,233,247,241,7
"344","SGMS2","DCN","ZNF827","FAM166B",344,233,247,241,7
"345","ZFHX3","GCLC","HMGA2","CXorf49",345,235,249,242,7
"346","CYP1B1","KCNAB1","IL7R","EIF3D",346,236,250,242,7
"347","ZNF189","CD44","EFNB2","LOC107985103",347,236,250,242,7
"348","RPS6KA3","SH2B3","PTGFR","ZNF771",348,237,250,242,7
"349","CAV1","MMP2","BEST1","MYCNOS",349,238,250,242,7
"350","ZC3H12C","MFSD6","FMN2","PCDHGA11",350,238,250,242,7
"351","CLASP1","ETV4","BNC2","SLC5A5",351,238,250,243,7
"352","NOTCH2","SH2D4A","TSC22D1","LOC105378157",352,239,250,244,7
"353","ARSI","ACKR4","SDC4","PYGO1",353,240,251,244,7
"354","MLXIP","NOTCH2","ADAMTS5","LOC107985168",354,241,252,244,7
"355","WNT16","EVA1A","ANGPTL2","NT5DC2",355,243,252,245,7
"356","OSBPL9","JAK1","PNPLA8","DPPA2",356,243,252,245,7
"357","GFPT2","FZD8","ZHX3","LINS1",357,243,253,246,7
"358","PDE4D","TUBA1A","APBB2","MIR1290",358,243,254,246,7
"359","WEE1","FERMT2","ZNF189","LOC107985091",359,244,255,246,7
"360","CH25H","SH3BGRL3","MSC","A1BG-AS1",360,244,256,246,7
"361","MBNL2","GCNT1","CARMIL1","MIR6795",361,246,257,247,7
"362","RASL11A","PRRG1","MEF2A","AMMECR1",362,246,258,248,7
"363","TCF4","CALD1","NID1","PPP1CB",363,246,259,248,7
"364","EEF2K","ETV1","LIMS1","MDGA1",364,246,259,248,7
"365","SNX9","ALDH1A3","APOL6","TMCC3",365,247,259,248,7
"366","SRXN1","RALGPS2","IER5L","TTC31",366,247,259,248,7
"367","GASK1B","TLN2","TEX2","MAL",367,248,259,248,7
"368","REV3L","RGS4","FERMT2","ADAM19",368,250,261,250,7
"369","TMEM43","CXCL12","CBR3","PLPP6",369,250,261,250,7
"370","WBP1L","NFIC","SPRY4","LOC101928373",370,250,262,250,7
"371","RNF144A","ZNF189","BAZ2B","PSG2",371,251,262,251,7
"372","ITGA3","TACC1","FIBIN","ZIC3",372,252,263,252,7
"373","STK24","TMSB4X","LGR4","ZNF800",373,253,263,252,7
"374","TIPARP","NRCAM","TUBA1A","MIR632",374,254,264,253,7
"375","ZBTB20","PTPN14","FAM222B","CTC1",375,255,265,253,7
